Pair ID,FRUS_ID,Cables_ID,FRUS Link,Cables Link,SUBJECT,OTHER,COSINE,VERIFIED MATCH,TF_IDF_SCORE,PAIR_IN_OLD_MATCHES,Notes,Initial
1,frus1977-80v26d241,1979GENEVA03043,history-lab.org/documents/frus1977-80v26d241,history-lab.org/documents/1979GENEVA03043,,,Yes,No Match,0.750174,No,,aw
2,frus1977-80v02d139,1978PARIS40899,history-lab.org/documents/frus1977-80v02d139,history-lab.org/documents/1978PARIS40899,,,Yes,No Match,0.75059,No,,aw
3,frus1969-76ve08d253,1974NEWDE08517,history-lab.org/documents/frus1969-76ve08d253,history-lab.org/documents/1974NEWDE08517,,,Yes,No Match,0.75061,No,,aw
4,frus1977-80v08d207,1978STATE180220,history-lab.org/documents/frus1977-80v08d207,history-lab.org/documents/1978STATE180220,,,Yes,No Match,0.750612,No,,aw
5,frus1977-80v02d60,1977BELGRA08514,history-lab.org/documents/frus1977-80v02d60,history-lab.org/documents/1977BELGRA08514,,,Yes,No Match,0.750907,No,,aw
6,frus1977-80v29d89,1978STATE003466,history-lab.org/documents/frus1977-80v29d89,history-lab.org/documents/1978STATE003466,,,Yes,No Match,0.75099,No,,aw
7,frus1977-80v02d73,1977LIMA04544,history-lab.org/documents/frus1977-80v02d73,history-lab.org/documents/1977LIMA04544,,,Yes,No Match,0.751166,No,,aw
8,frus1977-80v29d3,1974PANAMA06409,history-lab.org/documents/frus1977-80v29d3,history-lab.org/documents/1974PANAMA06409,,,Yes,No Match,0.751663,No,,aw
9,frus1969-76v31d61,1975STATE205868,history-lab.org/documents/frus1969-76v31d61,history-lab.org/documents/1975STATE205868,,,Yes,No Match,0.7518,No,,aw
10,frus1969-76v31d61,1974LUXEMB00187,history-lab.org/documents/frus1969-76v31d61,history-lab.org/documents/1974LUXEMB00187,,,Yes,No Match,0.751888,No,,aw
11,frus1969-76v37d64,1975SECTO02017,history-lab.org/documents/frus1969-76v37d64,history-lab.org/documents/1975SECTO02017,,,Yes,Partial Match,0.752084,No,,aw
12,frus1977-80v08d249,1978STATE116297,history-lab.org/documents/frus1977-80v08d249,history-lab.org/documents/1978STATE116297,,,Yes,No Match,0.752131,No,,aw
13,frus1977-80v02d73,1977STATE045576,history-lab.org/documents/frus1977-80v02d73,history-lab.org/documents/1977STATE045576,,,Yes,No Match,0.752256,No,,aw
14,frus1977-80v18d184,1979STATE030211,history-lab.org/documents/frus1977-80v18d184,history-lab.org/documents/1979STATE030211,,,Yes,Match,0.752296,No,,aw
15,frus1977-80v26d241,1979GENEVA05452,history-lab.org/documents/frus1977-80v26d241,history-lab.org/documents/1979GENEVA05452,,,Yes,Match,0.752313,No,,aw
16,frus1977-80v08d282,1978CAIRO17988,history-lab.org/documents/frus1977-80v08d282,history-lab.org/documents/1978CAIRO17988,,,Yes,No Match,0.75236,No,,aw
17,frus1977-80v16d76,1977STATE292840,history-lab.org/documents/frus1977-80v16d76,history-lab.org/documents/1977STATE292840,,,Yes,No Match,0.752488,No,,aw
18,frus1977-80v16d76,1977STATE294106,history-lab.org/documents/frus1977-80v16d76,history-lab.org/documents/1977STATE294106,,,Yes,No Match,0.752488,No,,aw
19,frus1969-76ve11p2d251,1976SANTIA10032,history-lab.org/documents/frus1969-76ve11p2d251,history-lab.org/documents/1976SANTIA10032,Yes,,Yes,Match,0.752639,Yes,,aw
20,frus1969-76ve16d153,1973STATE187854,history-lab.org/documents/frus1969-76ve16d153,history-lab.org/documents/1973STATE187854,,,Yes,Match,0.752647,No,,aw
21,frus1969-76ve11p1d143,1976STATE116491,history-lab.org/documents/frus1969-76ve11p1d143,history-lab.org/documents/1976STATE116491,,,Yes,No Match,0.752717,No,,aw
22,frus1969-76v31d55,1974ECBRU01531,history-lab.org/documents/frus1969-76v31d55,history-lab.org/documents/1974ECBRU01531,,,Yes,No Match,0.75278,No,,aw
23,frus1977-80v30d43,1977STATE096982,history-lab.org/documents/frus1977-80v30d43,history-lab.org/documents/1977STATE096982,Yes,,Yes,Match,0.752885,No,,aw
24,frus1969-76ve08d41,1975STATE029604,history-lab.org/documents/frus1969-76ve08d41,history-lab.org/documents/1975STATE029604,Yes,,Yes,Match,0.75293,Yes,,aw
25,frus1977-80v29d3,1977STATE133699,history-lab.org/documents/frus1977-80v29d3,history-lab.org/documents/1977STATE133699,,,Yes,No Match,0.753004,No,,aw
26,frus1977-80v18d178,1979STATE011799,history-lab.org/documents/frus1977-80v18d178,history-lab.org/documents/1979STATE011799,Yes,,Yes,Match,0.753393,No,,aw
27,frus1969-76ve09p1d104,1975STATE259599,history-lab.org/documents/frus1969-76ve09p1d104,history-lab.org/documents/1975STATE259599,,,Yes,Match,0.753498,No,,aw
28,frus1977-80v26d237,1978GENEVA16131,history-lab.org/documents/frus1977-80v26d237,history-lab.org/documents/1978GENEVA16131,,,Yes,No Match,0.753654,No,,aw
29,frus1969-76ve11p1d143,1976STATE123973,history-lab.org/documents/frus1969-76ve11p1d143,history-lab.org/documents/1976STATE123973,,,Yes,No Match,0.753696,No,,aw
30,frus1977-80v13d22,1976STATE235439,history-lab.org/documents/frus1977-80v13d22,history-lab.org/documents/1976STATE235439,,,Yes,No Match,0.753707,No,,aw
31,frus1969-76ve14p2d95,1978USUNN02394,history-lab.org/documents/frus1969-76ve14p2d95,history-lab.org/documents/1978USUNN02394,,,Yes,No Match,0.753747,No,,aw
32,frus1969-76v37d244,1979STATE297174,history-lab.org/documents/frus1969-76v37d244,history-lab.org/documents/1979STATE297174,,,Yes,Partial Match,0.75382,No,,aw
33,frus1969-76v18d142,1977STATE007716,history-lab.org/documents/frus1969-76v18d142,history-lab.org/documents/1977STATE007716,,,Yes,No Match,0.753841,No,,aw
34,frus1977-80v21d52,1978STATE141210,history-lab.org/documents/frus1977-80v21d52,history-lab.org/documents/1978STATE141210,,,Yes,No Match,0.754065,No,,aw
35,frus1969-76v37d125,1977STATE141244,history-lab.org/documents/frus1969-76v37d125,history-lab.org/documents/1977STATE141244,,,Yes,Match,0.754249,No,,aw
36,frus1977-80v26d241,1979GENEVA11427,history-lab.org/documents/frus1977-80v26d241,history-lab.org/documents/1979GENEVA11427,,,Yes,No Match,0.754287,No,,aw
37,frus1977-80v20d256,1979STATE042045,history-lab.org/documents/frus1977-80v20d256,history-lab.org/documents/1979STATE042045,,,Yes,No Match,0.754335,No,,aw
